iter	Logloss
141	0.5831878258
142	0.5829052641
143	0.581677928
144	0.5813182208
145	0.5807784948
146	0.5806860395
147	0.5801937809
148	0.5798123498
149	0.5795002453
150	0.5789369676
151	0.5788450733
152	0.5787644257
153	0.578653447
154	0.5784164966
155	0.5779003903
156	0.5778331789
157	0.5777417884
158	0.5776676693
159	0.5772540894
160	0.5764046388
161	0.5763215354
162	0.5756473933
163	0.5750938324
164	0.5750149538
165	0.574801443
166	0.5743895831
167	0.5743288129
168	0.5742369415
169	0.5741899574
170	0.5737825728
171	0.5737019335
172	0.573417608
173	0.5733471589
174	0.5732764726
175	0.5732194065
176	0.5731521257
177	0.5731053865
178	0.5730542877
179	0.5726967844
180	0.5725112052
181	0.5721633918
182	0.5716610993
183	0.5715156826
184	0.5714499636
185	0.5711596319
186	0.5708854605
187	0.5706482924
188	0.5705959079
189	0.5703677956
190	0.5701547169
191	0.5697106393
192	0.5696724742
193	0.569256582
194	0.5691987263
195	0.5687903161
196	0.5687168116
197	0.5686782268
198	0.5684961773
199	0.5684381959
200	0.5683793752
201	0.5683444814
202	0.5682837875
203	0.5678153426
204	0.5677558044
205	0.5675514782
206	0.5675077518
207	0.5674517058
208	0.5674158398
209	0.5670447811
210	0.5667828287
211	0.5667497454
212	0.5667025899
213	0.566588643
214	0.5663786484
215	0.5663354189
216	0.5662964946
217	0.5662471716
218	0.5657147679
219	0.5656087955
220	0.5654648921
221	0.5651517585
222	0.5651106022
223	0.5648524576
224	0.5645750457
225	0.5643967564
226	0.5643521122
227	0.5643089685
228	0.564093246
229	0.5640568523
230	0.5640059089
231	0.563837925
232	0.5637944864
233	0.5636188633
234	0.563592394
235	0.5635481163
236	0.5632320094
237	0.5629344408
238	0.5629026336
239	0.5627675435
240	0.5627353374
241	0.5624042038
242	0.5620921374
243	0.5616526437
244	0.5616128081
245	0.5615820252
246	0.5615453011
247	0.5615155202
248	0.5614787346
249	0.561227722
250	0.5611882373
251	0.5611582757
252	0.5611271954
253	0.5611039754
254	0.5606903769
255	0.5606654604
256	0.5606283773
257	0.5602902367
258	0.5602610513
259	0.56005979
260	0.5600273979
261	0.5598230158
262	0.5597965395
263	0.5597692384
264	0.5593992436
265	0.5591962718
266	0.5588662745
267	0.5588153799
268	0.5585494314
269	0.5581738848
270	0.5581427958
271	0.5579246076
272	0.5577728335
273	0.5577415903
274	0.5574189824
275	0.5572140577
276	0.557103447
277	0.5569751447
278	0.556846497
279	0.5568259572
280	0.5565559663
281	0.5565230507
282	0.5563051185
283	0.5558583453
284	0.555834057
285	0.5558118508
286	0.555660423
287	0.5556383963
288	0.5556114727
289	0.5554875609
290	0.5554521104
291	0.5552908692
292	0.5552546556
293	0.5552292159
294	0.5550120655
295	0.5549890273
296	0.5549562641
297	0.5549400689
298	0.5549049378
299	0.5546256151
300	0.5545969632
301	0.5545667947
302	0.5543292141
303	0.5542311758
304	0.5542113746
305	0.5538498333
306	0.5538224771
307	0.5537941917
308	0.5537612442
309	0.5535454355
310	0.5535224197
311	0.5534933565
312	0.5534696711
313	0.5533818995
314	0.5533653619
315	0.5533457445
316	0.5533191642
317	0.5533045252
318	0.5532775658
319	0.5529910805
320	0.5529643748
321	0.5529381819
322	0.5529012702
323	0.5528757705
324	0.5528597019
325	0.5528312259
326	0.5528083762
327	0.5527881514
328	0.5527690136
329	0.5527459506
330	0.5527241113
331	0.5527000259
332	0.5526665757
333	0.5521634988
334	0.5521421501
335	0.5521152513
336	0.552093109
337	0.5520691625
338	0.552045386
339	0.5520250796
340	0.5518490729
341	0.551828714
342	0.5516804483
343	0.5516567825
344	0.5516343115
345	0.5516066606
346	0.5515098124
347	0.5512734748
348	0.5510892672
349	0.5510708458
